rcID,lsoa11cd,distance
RC_EW_2713,E01007007,10321
RC_EW_2713,E01007008,11249
RC_EW_2713,E01007009,15313
RC_EW_2713,E01007010,9385
RC_EW_2713,E01007011,13215
RC_EW_2713,E01007012,12482
RC_EW_2713,E01007013,12864
RC_EW_2713,E01007014,13080
RC_EW_2713,E01007016,13443
RC_EW_2713,E01007017,12860
RC_EW_2713,E01007019,11790
RC_EW_2713,E01007020,16961
RC_EW_2713,E01007021,15944
RC_EW_2713,E01007022,17606
RC_EW_2713,E01007023,16709
RC_EW_2713,E01007024,16513
RC_EW_2713,E01007025,15978
RC_EW_2713,E01007026,15739
RC_EW_2713,E01007027,21904
RC_EW_2713,E01007028,44864
RC_EW_2713,E01007029,45507
RC_EW_2713,E01007030,45602
RC_EW_2713,E01007031,39668
RC_EW_2713,E01007032,43069
RC_EW_2713,E01007033,43602
RC_EW_2713,E01007034,38105
RC_EW_2713,E01007035,38112
RC_EW_2713,E01007036,43331
RC_EW_2713,E01007037,17835
RC_EW_2713,E01007038,18888
RC_EW_2713,E01007039,18075
RC_EW_2713,E01007040,19865
RC_EW_2713,E01007041,14830
RC_EW_2713,E01007042,20767
RC_EW_2713,E01007043,15738
RC_EW_2713,E01007044,16562
RC_EW_2713,E01007045,15311
RC_EW_2713,E01007046,14303
RC_EW_2713,E01007047,12363
RC_EW_2713,E01007048,13458
RC_EW_2713,E01007049,12417
RC_EW_2713,E01007050,11971
RC_EW_2713,E01007051,12023
RC_EW_2713,E01007052,10950
RC_EW_2713,E01007053,15246
RC_EW_2713,E01007054,14629
RC_EW_2713,E01007055,37027
RC_EW_2713,E01007056,36517
RC_EW_2713,E01007057,37526
RC_EW_2713,E01007058,37665
RC_EW_2713,E01007059,36475
RC_EW_2713,E01007060,35617
RC_EW_2713,E01007061,36411
RC_EW_2713,E01007062,37400
RC_EW_2713,E01007063,36874
RC_EW_2713,E01007064,37506
RC_EW_2713,E01007065,16614
RC_EW_2713,E01007066,16955
RC_EW_2713,E01007067,20773
RC_EW_2713,E01007068,20894
RC_EW_2713,E01007069,19605
RC_EW_2713,E01007070,19407
RC_EW_2713,E01007071,18363
RC_EW_2713,E01007072,18174
RC_EW_2713,E01007073,17511
RC_EW_2713,E01007074,17316
RC_EW_2713,E01007075,26352
RC_EW_2713,E01007076,22977
RC_EW_2713,E01007077,25849
RC_EW_2713,E01007078,26357
RC_EW_2713,E01007079,27987
RC_EW_2713,E01007080,26901
RC_EW_2713,E01007081,26931
RC_EW_2713,E01007082,26287
RC_EW_2713,E01007083,15330
RC_EW_2713,E01007084,15449
RC_EW_2713,E01007085,15392
RC_EW_2713,E01007086,14589
RC_EW_2713,E01007087,15317
RC_EW_2713,E01007088,14482
RC_EW_2713,E01007089,14667
RC_EW_2713,E01007090,14665
RC_EW_2713,E01007091,16961
RC_EW_2713,E01007092,16092
RC_EW_2713,E01007095,18923
RC_EW_2713,E01007096,19025
RC_EW_2713,E01007097,19136
RC_EW_2713,E01007098,21145
RC_EW_2713,E01007099,17928
RC_EW_2713,E01007100,20478
RC_EW_2713,E01007101,19216
RC_EW_2713,E01007102,14546
RC_EW_2713,E01007103,14576
RC_EW_2713,E01007104,15132
RC_EW_2713,E01007105,15138
RC_EW_2713,E01007106,15526
RC_EW_2713,E01007107,14868
RC_EW_2713,E01007108,14995
RC_EW_2713,E01007109,14993
RC_EW_2713,E01007110,15989
RC_EW_2713,E01007111,8697
RC_EW_2713,E01007112,8655
RC_EW_2713,E01007113,8636
RC_EW_2713,E01007114,8577
RC_EW_2713,E01007115,16923
RC_EW_2713,E01007116,16552
RC_EW_2713,E01007117,16714
RC_EW_2713,E01007118,15803
RC_EW_2713,E01007119,6373
RC_EW_2713,E01007120,4575
RC_EW_2713,E01007121,3246
RC_EW_2713,E01007122,2871
RC_EW_2713,E01007123,3680
RC_EW_2713,E01007124,5338
RC_EW_2713,E01007125,3349
RC_EW_2713,E01007126,4523
RC_EW_2713,E01007127,5078
RC_EW_2713,E01007128,4999
RC_EW_2713,E01007129,5272
RC_EW_2713,E01007130,5871
RC_EW_2713,E01007131,6339
RC_EW_2713,E01007133,3307
RC_EW_2713,E01007135,12285
RC_EW_2713,E01007136,18166
RC_EW_2713,E01007137,17823
RC_EW_2713,E01007138,9002
RC_EW_2713,E01007139,8370
RC_EW_2713,E01007140,9937
RC_EW_2713,E01007141,9283
RC_EW_2713,E01007142,10900
RC_EW_2713,E01007143,11414
RC_EW_2713,E01007144,16505
RC_EW_2713,E01007145,16002
RC_EW_2713,E01007146,15716
RC_EW_2713,E01007147,16188
RC_EW_2713,E01007148,19160
RC_EW_2713,E01007149,18189
RC_EW_2713,E01007150,19367
RC_EW_2713,E01007151,15428
RC_EW_2713,E01007152,15961
RC_EW_2713,E01007153,16074
RC_EW_2713,E01007154,14930
RC_EW_2713,E01007155,4766
RC_EW_2713,E01007156,4391
RC_EW_2713,E01007157,3760
RC_EW_2713,E01007158,4202
RC_EW_2713,E01007159,4488
RC_EW_2713,E01007160,4941
RC_EW_2713,E01007161,6227
RC_EW_2713,E01007162,7157
RC_EW_2713,E01007163,7090
RC_EW_2713,E01007164,22732
RC_EW_2713,E01007165,22616
RC_EW_2713,E01007166,22222
RC_EW_2713,E01007167,21905
RC_EW_2713,E01007168,22561
RC_EW_2713,E01007169,22035
RC_EW_2713,E01007170,19070
RC_EW_2713,E01007171,22399
RC_EW_2713,E01007172,19035
RC_EW_2713,E01007173,7971
RC_EW_2713,E01007174,7574
RC_EW_2713,E01007175,8251
RC_EW_2713,E01007176,8068
RC_EW_2713,E01007177,8163
RC_EW_2713,E01007178,7906
RC_EW_2713,E01007179,7011
RC_EW_2713,E01007180,7030
RC_EW_2713,E01007181,7367
RC_EW_2713,E01007182,15621
RC_EW_2713,E01007183,13806
RC_EW_2713,E01007184,14787
RC_EW_2713,E01007185,15189
RC_EW_2713,E01007186,18288
RC_EW_2713,E01007187,17508
RC_EW_2713,E01007188,15557
RC_EW_2713,E01007189,16358
RC_EW_2713,E01007190,18351
RC_EW_2713,E01007191,17558
RC_EW_2713,E01007192,16116
RC_EW_2713,E01007193,14454
RC_EW_2713,E01007194,13903
RC_EW_2713,E01007195,10702
RC_EW_2713,E01007196,14235
RC_EW_2713,E01007197,12746
RC_EW_2713,E01007198,13680
RC_EW_2713,E01007199,12306
RC_EW_2713,E01007200,12403
RC_EW_2713,E01007201,13244
RC_EW_2713,E01007202,14763
RC_EW_2713,E01007203,6229
RC_EW_2713,E01007204,4876
RC_EW_2713,E01007205,5158
RC_EW_2713,E01007206,7249
RC_EW_2713,E01007207,6482
RC_EW_2713,E01007208,6105
RC_EW_2713,E01007209,6468
RC_EW_2713,E01007210,3816
RC_EW_2713,E01007211,2068
RC_EW_2713,E01007212,1379
RC_EW_2713,E01007213,1486
RC_EW_2713,E01007214,882
RC_EW_2713,E01007215,1541
RC_EW_2713,E01007216,612
RC_EW_2713,E01007217,156
RC_EW_2713,E01007218,975
RC_EW_2713,E01007219,1051
RC_EW_2713,E01007220,1677
RC_EW_2713,E01007221,7107
RC_EW_2713,E01007222,8050
RC_EW_2713,E01007223,8503
RC_EW_2713,E01007224,9626
RC_EW_2713,E01007225,7822
RC_EW_2713,E01007226,7385
